"X" "Y"
NA NA
11.1196 44.43
11.1826 44.43
11.1826 44.385
11.1196 44.385
11.1196 44.43
NA NA
11.1827 44.43
11.2457 44.43
11.2457 44.385
11.1827 44.385
11.1827 44.43
NA NA
11.2457 44.43
11.3087 44.43
11.3087 44.385
11.2457 44.385
11.2457 44.43
NA NA
11.3088 44.43
11.3718 44.43
11.3718 44.385
11.3088 44.385
11.3088 44.43
NA NA
11.3718 44.43
11.4348 44.43
11.4348 44.385
11.3718 44.385
11.3718 44.43
NA NA
11.4349 44.43
11.4979 44.43
11.4979 44.385
11.4349 44.385
11.4349 44.43
NA NA
11.4979 44.43
11.5609 44.43
11.5609 44.385
11.4979 44.385
11.4979 44.43
NA NA
11.561 44.43
11.624 44.43
11.624 44.385
11.561 44.385
11.561 44.43
NA NA
11.624 44.43
11.687 44.43
11.687 44.385
11.624 44.385
11.624 44.43
NA NA
11.6871 44.43
11.7501 44.43
11.7501 44.385
11.6871 44.385
11.6871 44.43
NA NA
11.7501 44.43
11.8131 44.43
11.8131 44.385
11.7501 44.385
11.7501 44.43
NA NA
10.9935 44.475
11.0565 44.475
11.0565 44.43
10.9935 44.43
10.9935 44.475
NA NA
11.0566 44.475
11.1196 44.475
11.1196 44.43
11.0566 44.43
11.0566 44.475
NA NA
11.1196 44.475
11.1826 44.475
11.1826 44.43
11.1196 44.43
11.1196 44.475
NA NA
11.1827 44.475
11.2457 44.475
11.2457 44.43
11.1827 44.43
11.1827 44.475
NA NA
11.2457 44.475
11.3087 44.475
11.3087 44.43
11.2457 44.43
11.2457 44.475
NA NA
11.3088 44.475
11.3718 44.475
11.3718 44.43
11.3088 44.43
11.3088 44.475
NA NA
11.3718 44.475
11.4348 44.475
11.4348 44.43
11.3718 44.43
11.3718 44.475
NA NA
11.4349 44.475
11.4979 44.475
11.4979 44.43
11.4349 44.43
11.4349 44.475
NA NA
11.4979 44.475
11.5609 44.475
11.5609 44.43
11.4979 44.43
11.4979 44.475
NA NA
11.561 44.475
11.624 44.475
11.624 44.43
11.561 44.43
11.561 44.475
NA NA
11.624 44.475
11.687 44.475
11.687 44.43
11.624 44.43
11.624 44.475
NA NA
11.6871 44.475
11.7501 44.475
11.7501 44.43
11.6871 44.43
11.6871 44.475
NA NA
11.7501 44.475
11.8131 44.475
11.8131 44.43
11.7501 44.43
11.7501 44.475
NA NA
11.0566 44.52
11.1196 44.52
11.1196 44.475
11.0566 44.475
11.0566 44.52
NA NA
11.1196 44.52
11.1826 44.52
11.1826 44.475
11.1196 44.475
11.1196 44.52
NA NA
11.1827 44.52
11.2457 44.52
11.2457 44.475
11.1827 44.475
11.1827 44.52
NA NA
11.2457 44.52
11.3087 44.52
11.3087 44.475
11.2457 44.475
11.2457 44.52
NA NA
11.3088 44.52
11.3718 44.52
11.3718 44.475
11.3088 44.475
11.3088 44.52
NA NA
11.3718 44.52
11.4348 44.52
11.4348 44.475
11.3718 44.475
11.3718 44.52
NA NA
11.4349 44.52
11.4979 44.52
11.4979 44.475
11.4349 44.475
11.4349 44.52
NA NA
11.4979 44.52
11.5609 44.52
11.5609 44.475
11.4979 44.475
11.4979 44.52
NA NA
11.561 44.52
11.624 44.52
11.624 44.475
11.561 44.475
11.561 44.52
NA NA
11.624 44.52
11.687 44.52
11.687 44.475
11.624 44.475
11.624 44.52
NA NA
11.6871 44.52
11.7501 44.52
11.7501 44.475
11.6871 44.475
11.6871 44.52
NA NA
