"X" "Y"
11.93925 44.16
11.87615 44.16
11.87615 44.205
NA NA
11.93925 44.205
12.00235 44.205
12.00235 44.16
11.93925 44.16
11.93925 44.205
NA NA
12.00225 44.205
12.06535 44.205
12.06535 44.16
12.00225 44.16
12.00225 44.205
NA NA
12.06535 44.205
12.12845 44.205
12.12845 44.16
12.06535 44.16
12.06535 44.205
NA NA
12.12835 44.205
12.19145 44.205
12.19145 44.16
12.12835 44.16
12.12835 44.205
NA NA
12.19145 44.205
12.25455 44.205
12.25455 44.16
12.19145 44.16
12.19145 44.205
NA NA
12.25445 44.205
12.31755 44.205
12.31755 44.16
12.25445 44.16
12.25445 44.205
NA NA
12.31755 44.205
12.38065 44.205
12.38065 44.16
12.31755 44.16
12.31755 44.205
NA NA
12.38055 44.205
12.44365 44.205
12.44365 44.16
12.38055 44.16
12.38055 44.205
NA NA
12.44365 44.205
12.50675 44.205
12.50675 44.16
12.44365 44.16
12.44365 44.205
NA NA
10.36295 44.25
10.42605 44.25
10.42605 44.205
10.36295 44.205
10.36295 44.25
NA NA
10.42605 44.25
10.48915 44.25
10.48915 44.205
10.42605 44.205
10.42605 44.25
NA NA
10.48905 44.25
10.55215 44.25
10.55215 44.205
10.48905 44.205
10.48905 44.25
NA NA
10.55215 44.25
10.61525 44.25
10.61525 44.205
10.55215 44.205
10.55215 44.25
NA NA
10.61515 44.25
10.67825 44.25
10.67825 44.205
10.61515 44.205
10.61515 44.25
NA NA
10.67825 44.25
10.74135 44.25
10.74135 44.205
10.67825 44.205
10.67825 44.25
NA NA
10.74125 44.25
10.80435 44.25
10.80435 44.205
10.74125 44.205
10.74125 44.25
NA NA
10.80435 44.25
10.86745 44.25
10.86745 44.205
10.80435 44.205
10.80435 44.25
NA NA
10.86735 44.25
10.93045 44.25
10.93045 44.205
10.86735 44.205
10.86735 44.25
NA NA
10.93045 44.25
10.99355 44.25
10.99355 44.205
10.93045 44.205
10.93045 44.25
NA NA
10.99345 44.25
11.05655 44.25
11.05655 44.205
10.99345 44.205
10.99345 44.25
NA NA
11.05655 44.25
11.11965 44.25
11.11965 44.205
11.05655 44.205
11.05655 44.25
NA NA
11.11955 44.25
11.18265 44.25
11.18265 44.205
11.11955 44.205
11.11955 44.25
NA NA
11.18265 44.25
11.24575 44.25
11.24575 44.205
11.18265 44.205
11.18265 44.25
NA NA
11.24565 44.25
11.30875 44.25
11.30875 44.205
11.24565 44.205
11.24565 44.25
NA NA
11.30875 44.25
11.37185 44.25
11.37185 44.205
11.30875 44.205
11.30875 44.25
NA NA
11.37175 44.25
11.43485 44.25
11.43485 44.205
11.37175 44.205
11.37175 44.25
NA NA
11.43485 44.25
11.49795 44.25
11.49795 44.205
11.43485 44.205
11.43485 44.25
NA NA
11.49785 44.25
11.56095 44.25
11.56095 44.205
11.49785 44.205
11.49785 44.25
NA NA
11.56095 44.25
11.62405 44.25
11.62405 44.205
11.56095 44.205
11.56095 44.25
NA NA
11.62395 44.25
11.68705 44.25
11.68705 44.205
11.62395 44.205
11.62395 44.25
NA NA
11.68705 44.25
11.75015 44.25
11.75015 44.205
11.68705 44.205
11.68705 44.25
NA NA
11.75005 44.25
11.81315 44.25
11.81315 44.205
11.75005 44.205
11.75005 44.25
NA NA
11.81315 44.25
11.87625 44.25
11.87625 44.205
11.81315 44.205
11.81315 44.25
NA NA
11.87615 44.25
11.93925 44.25
11.93925 44.205
11.87615 44.205
11.87615 44.25
NA NA
11.93925 44.25
12.00235 44.25
12.00235 44.205
11.93925 44.205
11.93925 44.25
NA NA
12.00225 44.25
12.06535 44.25
12.06535 44.205
12.00225 44.205
12.00225 44.25
NA NA
12.06535 44.25
12.12845 44.25
12.12845 44.205
12.06535 44.205
12.06535 44.25
NA NA
12.12835 44.25
12.19145 44.25
12.19145 44.205
12.12835 44.205
12.12835 44.25
NA NA
12.19145 44.25
12.25455 44.25
12.25455 44.205
12.19145 44.205
12.19145 44.25
NA NA
12.25445 44.25
12.31755 44.25
12.31755 44.205
12.25445 44.205
12.25445 44.25
NA NA
12.31755 44.25
12.38065 44.25
12.38065 44.205
12.31755 44.205
12.31755 44.25
NA NA
12.38055 44.25
12.44365 44.25
12.44365 44.205
12.38055 44.205
12.38055 44.25
NA NA
10.17385 44.295
10.23695 44.295
10.23695 44.25
10.17385 44.25
10.17385 44.295
NA NA
10.23685 44.295
10.29995 44.295
10.29995 44.25
10.23685 44.25
10.23685 44.295
NA NA
10.29995 44.295
10.36305 44.295
10.36305 44.25
10.29995 44.25
10.29995 44.295
NA NA
10.36295 44.295
10.42605 44.295
10.42605 44.25
10.36295 44.25
10.36295 44.295
NA NA
10.42605 44.295
10.48915 44.295
10.48915 44.25
10.42605 44.25
10.42605 44.295
NA NA
10.48905 44.295
10.55215 44.295
10.55215 44.25
10.48905 44.25
10.48905 44.295
NA NA
10.55215 44.295
10.61525 44.295
10.61525 44.25
10.55215 44.25
10.55215 44.295
NA NA
10.61515 44.295
10.67825 44.295
10.67825 44.25
10.61515 44.25
10.61515 44.295
NA NA
10.67825 44.295
10.74135 44.295
10.74135 44.25
10.67825 44.25
10.67825 44.295
NA NA
10.74125 44.295
10.80435 44.295
10.80435 44.25
10.74125 44.25
10.74125 44.295
NA NA
10.80435 44.295
10.86745 44.295
10.86745 44.25
10.80435 44.25
10.80435 44.295
NA NA
10.86735 44.295
10.93045 44.295
10.93045 44.25
10.86735 44.25
10.86735 44.295
NA NA
10.93045 44.295
10.99355 44.295
10.99355 44.25
10.93045 44.25
10.93045 44.295
NA NA
10.99345 44.295
11.05655 44.295
11.05655 44.25
10.99345 44.25
10.99345 44.295
NA NA
11.05655 44.295
11.11965 44.295
11.11965 44.25
11.05655 44.25
11.05655 44.295
NA NA
11.11955 44.295
11.18265 44.295
11.18265 44.25
11.11955 44.25
11.11955 44.295
NA NA
11.18265 44.295
11.24575 44.295
11.24575 44.25
11.18265 44.25
11.18265 44.295
NA NA
11.24565 44.295
11.30875 44.295
11.30875 44.25
11.24565 44.25
11.24565 44.295
NA NA
11.30875 44.295
11.37185 44.295
11.37185 44.25
11.30875 44.25
11.30875 44.295
NA NA
11.37175 44.295
11.43485 44.295
11.43485 44.25
11.37175 44.25
11.37175 44.295
NA NA
11.43485 44.295
11.49795 44.295
11.49795 44.25
11.43485 44.25
11.43485 44.295
NA NA
11.49785 44.295
11.56095 44.295
11.56095 44.25
11.49785 44.25
11.49785 44.295
NA NA
11.56095 44.295
11.62405 44.295
11.62405 44.25
11.56095 44.25
11.56095 44.295
NA NA
11.62395 44.295
11.68705 44.295
11.68705 44.25
11.62395 44.25
11.62395 44.295
NA NA
11.68705 44.295
11.75015 44.295
11.75015 44.25
11.68705 44.25
11.68705 44.295
NA NA
11.75005 44.295
11.81315 44.295
11.81315 44.25
11.75005 44.25
11.75005 44.295
NA NA
11.81315 44.295
11.87625 44.295
11.87625 44.25
11.81315 44.25
11.81315 44.295
NA NA
11.87615 44.295
11.93925 44.295
11.93925 44.25
11.87615 44.25
11.87615 44.295
NA NA
11.93925 44.295
12.00235 44.295
12.00235 44.25
11.93925 44.25
11.93925 44.295
NA NA
12.00225 44.295
12.06535 44.295
12.06535 44.25
12.00225 44.25
12.00225 44.295
NA NA
12.06535 44.295
12.12845 44.295
12.12845 44.25
12.06535 44.25
12.06535 44.295
NA NA
12.12835 44.295
12.19145 44.295
12.19145 44.25
12.12835 44.25
12.12835 44.295
NA NA
12.19145 44.295
12.25455 44.295
12.25455 44.25
12.19145 44.25
12.19145 44.295
NA NA
12.25445 44.295
12.31755 44.295
12.31755 44.25
12.25445 44.25
12.25445 44.295
NA NA
12.31755 44.295
12.38065 44.295
12.38065 44.25
12.31755 44.25
12.31755 44.295
NA NA
10.11075 44.34
10.17385 44.34
10.17385 44.295
10.11075 44.295
10.11075 44.34
NA NA
10.17385 44.34
10.23695 44.34
10.23695 44.295
10.17385 44.295
10.17385 44.34
NA NA
10.23685 44.34
10.29995 44.34
10.29995 44.295
10.23685 44.295
10.23685 44.34
NA NA
10.29995 44.34
10.36305 44.34
10.36305 44.295
10.29995 44.295
10.29995 44.34
NA NA
10.36295 44.34
10.42605 44.34
10.42605 44.295
10.36295 44.295
10.36295 44.34
NA NA
10.42605 44.34
10.48915 44.34
10.48915 44.295
10.42605 44.295
10.42605 44.34
NA NA
10.48905 44.34
10.55215 44.34
10.55215 44.295
10.48905 44.295
10.48905 44.34
NA NA
10.55215 44.34
10.61525 44.34
10.61525 44.295
10.55215 44.295
10.55215 44.34
NA NA
10.61515 44.34
10.67825 44.34
10.67825 44.295
10.61515 44.295
10.61515 44.34
NA NA
10.67825 44.34
10.74135 44.34
10.74135 44.295
10.67825 44.295
10.67825 44.34
NA NA
10.74125 44.34
10.80435 44.34
10.80435 44.295
10.74125 44.295
10.74125 44.34
NA NA
10.80435 44.34
10.86745 44.34
10.86745 44.295
10.80435 44.295
10.80435 44.34
NA NA
10.86735 44.34
10.93045 44.34
10.93045 44.295
10.86735 44.295
10.86735 44.34
NA NA
10.93045 44.34
10.99355 44.34
10.99355 44.295
10.93045 44.295
10.93045 44.34
NA NA
10.99345 44.34
11.05655 44.34
11.05655 44.295
10.99345 44.295
10.99345 44.34
NA NA
11.05655 44.34
11.11965 44.34
11.11965 44.295
11.05655 44.295
11.05655 44.34
NA NA
11.11955 44.34
